ProblemCode,ExamType,Title,Description,Difficulty,Status,SolutionLanguage,SolutionCode,OrderIndex,IsExample,TestInput,ExpectedOutput
APCC001,APCS,迴圈加總追蹤,"下列程式執行後，會輸出什麼？

    total = 0
    for i in range(1, 6):
        total += i
    print(total)

(A) 10
(B) 14
(C) 21
(D) 15",1,Active,Python,"print(""D"")",0,False,-,D
APCC002,APCS,巢狀迴圈計數追蹤,"下列程式執行後，count 的值為何？

    count = 0
    for i in range(3):
        for j in range(3):
            count += 1
    print(count)

(A) 9
(B) 6
(C) 3
(D) 12",1,Active,Python,"print(""A"")",0,False,-,A
APCC003,APCS,while 迴圈與 break 追蹤,"下列程式執行後，n 的最終值為何？

    n = 1
    while True:
        n = n * 2
        if n > 50:
            break
    print(n)

(A) 32
(B) 50
(C) 64
(D) 128",2,Active,Python,"print(""C"")",0,False,-,C
APCC004,APCS,陣列單趟比較交換追蹤,"下列程式對陣列做「單一趟」相鄰比較交換（只執行一次由左到右的掃描），執行後 a 的內容為何？

    a = [3, 7, 1, 9, 4]
    for i in range(len(a) - 1):
        if a[i] > a[i + 1]:
            a[i], a[i + 1] = a[i + 1], a[i]
    print(a)

(A) [1, 3, 4, 7, 9]
(B) [9, 7, 4, 3, 1]
(C) [3, 7, 1, 9, 4]
(D) [3, 1, 7, 4, 9]",2,Active,Python,"print(""D"")",0,False,-,D
APCC005,APCS,字串切片與索引追蹤,"下列程式執行後，會輸出什麼？（字串索引由 0 開始）

    s = ""APCS2026""
    print(s[0], s[-1], s[2:5])

(A) A 6 CS2
(B) A 6 S20
(C) P 6 CS2
(D) A 2026 APC",1,Active,Python,"print(""A"")",0,False,-,A
APCC006,APCS,遞迴階乘追蹤,"下列遞迴函式執行 f(5) 後，回傳值為何？

    def f(n):
        if n <= 1:
            return 1
        return n * f(n - 1)

    print(f(5))

(A) 24
(B) 60
(C) 125
(D) 120",1,Active,Python,"print(""D"")",0,False,-,D
APCC007,APCS,遞迴費氏數列追蹤,"下列遞迴函式執行 fib(6) 後，回傳值為何？

    def fib(n):
        if n <= 1:
            return n
        return fib(n - 1) + fib(n - 2)

    print(fib(6))

(A) 8
(B) 6
(C) 5
(D) 13",2,Active,Python,"print(""A"")",0,False,-,A
APCC008,APCS,遞迴呼叫順序與輸出追蹤,"下列程式執行 f(3) 後，依序會印出哪些數字？（每個數字之間以空白分隔）

    def f(n):
        if n == 0:
            return
        print(n, end=' ')
        f(n - 1)
        print(-n, end=' ')

    f(3)

(A) 3 2 1 -1 -2 -3
(B) 3 2 1 -3 -2 -1
(C) -1 -2 -3 1 2 3
(D) 1 2 3 -1 -2 -3",3,Active,Python,"print(""A"")",0,False,-,A
APCC009,APCS,continue 略過特定項目追蹤,"下列程式執行後，total 的值為何？

    total = 0
    for i in range(1, 10):
        if i % 3 == 0:
            continue
        total += i
    print(total)

(A) 27
(B) 30
(C) 42
(D) 45",2,Active,Python,"print(""A"")",0,False,-,A
APCC010,APCS,巢狀迴圈圖形字元數追蹤,"下列程式總共會印出幾個 '*' 字元？

    for i in range(1, 5):
        for j in range(i):
            print(""*"", end="""")
        print()

(A) 6
(B) 8
(C) 10
(D) 16",2,Active,Python,"print(""C"")",0,False,-,C
APCC011,APCS,陣列找最大值索引追蹤（重複值）,"下列程式執行後，max_idx 的值為何？

    a = [4, 9, 2, 9, 5]
    max_val = a[0]
    max_idx = 0
    for i in range(1, len(a)):
        if a[i] > max_val:
            max_val = a[i]
            max_idx = i
    print(max_idx)

(A) 0
(B) 4
(C) 3
(D) 1",1,Active,Python,"print(""D"")",0,False,-,D
APCC012,APCS,雙指標反轉陣列追蹤,"下列程式使用雙指標交換法，執行後 a 的內容為何？

    a = [1, 2, 3, 4, 5]
    left, right = 0, len(a) - 1
    while left < right:
        a[left], a[right] = a[right], a[left]
        left += 1
        right -= 1
    print(a)

(A) [5, 4, 3, 2, 1]
(B) [1, 2, 3, 4, 5]
(C) [5, 1, 3, 4, 2]
(D) [2, 1, 3, 5, 4]",2,Active,Python,"print(""A"")",0,False,-,A
APCC013,APCS,模數運算計數追蹤,"下列程式執行後，count 的值為何？

    count = 0
    for i in range(1, 21):
        if i % 2 == 0:
            count += 1
    print(count)

(A) 9
(B) 20
(C) 11
(D) 10",1,Active,Python,"print(""D"")",0,False,-,D
APCC014,APCS,字串反轉迴圈追蹤,"下列程式執行後，result 的內容為何？

    s = ""HELLO""
    result = """"
    for ch in s:
        result = ch + result
    print(result)

(A) HELLO
(B) OLLEH
(C) HLELO
(D) OLEHL",2,Active,Python,"print(""B"")",0,False,-,B
APCC015,APCS,遞迴計算最大公因數追蹤,"下列輾轉相除法（歐幾里得演算法）的遞迴函式，執行 gcd(48, 18) 後回傳值為何？

    def gcd(a, b):
        if b == 0:
            return a
        return gcd(b, a % b)

    print(gcd(48, 18))

(A) 3
(B) 6
(C) 9
(D) 18",3,Active,Python,"print(""B"")",0,False,-,B
APCC016,APCS,遞迴呼叫次數計算,"下列函式沒有使用備忘（memoization），是最原始的雙重遞迴寫法。執行 f(4) 時，函式 f 總共被呼叫幾次（包含最外層呼叫本身）？

    def f(n):
        if n <= 1:
            return 1
        return f(n - 1) + f(n - 2)

    f(4)

(A) 5
(B) 7
(C) 15
(D) 9",3,Active,Python,"print(""D"")",0,False,-,D
