ProblemCode,ExamType,Title,Description,Difficulty,Status,SolutionLanguage,SolutionCode,OrderIndex,IsExample,TestInput,ExpectedOutput
APCP001,APCS,陣列總和與平均,"給定一個長度為 n 的整數陣列，請計算所有元素的總和與平均值。

輸入說明：第一行一個正整數 n (1<=n<=1000)；第二行 n 個整數，範圍在 -1000 到 1000 之間，以空白分隔。
輸出說明：一行，依序輸出總和與平均值（平均值四捨五入至小數點後兩位），以空白分隔。",1,Active,Python,"n = int(input())
arr = list(map(int, input().split()))
s = sum(arr)
avg = s / n
print(f""{s} {avg:.2f}"")",0,True,"5
1 2 3 4 5",15 3.00
APCP001,APCS,陣列總和與平均,"給定一個長度為 n 的整數陣列，請計算所有元素的總和與平均值。

輸入說明：第一行一個正整數 n (1<=n<=1000)；第二行 n 個整數，範圍在 -1000 到 1000 之間，以空白分隔。
輸出說明：一行，依序輸出總和與平均值（平均值四捨五入至小數點後兩位），以空白分隔。",1,Active,Python,"n = int(input())
arr = list(map(int, input().split()))
s = sum(arr)
avg = s / n
print(f""{s} {avg:.2f}"")",1,True,"3
-1 0 1",0 0.00
APCP002,APCS,找最大值與其位置,"給定一個長度為 n 的整數陣列，請找出最大值以及它第一次出現的位置。

輸入說明：第一行一個正整數 n (1<=n<=1000)；第二行 n 個整數，以空白分隔。
輸出說明：一行，輸出最大值與其位置（位置從 1 開始計數；若最大值重複出現，取第一次出現的位置），以空白分隔。",1,Active,Python,"n = int(input())
arr = list(map(int, input().split()))
mx = arr[0]
idx = 1
for i in range(1, n):
    if arr[i] > mx:
        mx = arr[i]
        idx = i + 1
print(mx, idx)",0,True,"5
3 1 4 1 5",5 5
APCP002,APCS,找最大值與其位置,"給定一個長度為 n 的整數陣列，請找出最大值以及它第一次出現的位置。

輸入說明：第一行一個正整數 n (1<=n<=1000)；第二行 n 個整數，以空白分隔。
輸出說明：一行，輸出最大值與其位置（位置從 1 開始計數；若最大值重複出現，取第一次出現的位置），以空白分隔。",1,Active,Python,"n = int(input())
arr = list(map(int, input().split()))
mx = arr[0]
idx = 1
for i in range(1, n):
    if arr[i] > mx:
        mx = arr[i]
        idx = i + 1
print(mx, idx)",1,True,"4
7 7 2 1",7 1
APCP003,APCS,計算奇偶數個數,"給定一個長度為 n 的整數陣列，請計算其中奇數與偶數的個數。

輸入說明：第一行一個正整數 n (1<=n<=1000)；第二行 n 個整數，以空白分隔。
輸出說明：一行，依序輸出奇數個數與偶數個數，以空白分隔。",1,Active,Python,"n = int(input())
arr = list(map(int, input().split()))
odd = sum(1 for x in arr if x % 2 != 0)
even = n - odd
print(odd, even)",0,True,"5
1 2 3 4 5",3 2
APCP003,APCS,計算奇偶數個數,"給定一個長度為 n 的整數陣列，請計算其中奇數與偶數的個數。

輸入說明：第一行一個正整數 n (1<=n<=1000)；第二行 n 個整數，以空白分隔。
輸出說明：一行，依序輸出奇數個數與偶數個數，以空白分隔。",1,Active,Python,"n = int(input())
arr = list(map(int, input().split()))
odd = sum(1 for x in arr if x % 2 != 0)
even = n - odd
print(odd, even)",1,True,"3
2 4 6",0 3
APCP004,APCS,字串反轉,"給定一行不含空白字元的字串 s，請輸出將其反轉後的結果。

輸入說明：一行字串 s（僅含英數字元，長度 1<=len(s)<=100）。
輸出說明：一行，輸出 s 反轉後的字串。",1,Active,Python,"s = input()
print(s[::-1])",0,True,hello,olleh
APCP004,APCS,字串反轉,"給定一行不含空白字元的字串 s，請輸出將其反轉後的結果。

輸入說明：一行字串 s（僅含英數字元，長度 1<=len(s)<=100）。
輸出說明：一行，輸出 s 反轉後的字串。",1,Active,Python,"s = input()
print(s[::-1])",1,True,apcs2026,6202scpa
APCP005,APCS,判斷回文字串,"給定一行不含空白字元的字串 s，請判斷它是否為回文字串（正著讀與反著讀相同）。

輸入說明：一行字串 s（僅含英文小寫字母，長度 1<=len(s)<=200）。
輸出說明：若為回文輸出「是」，否則輸出「否」。",1,Active,Python,"s = input()
print(""是"" if s == s[::-1] else ""否"")",0,True,level,是
APCP005,APCS,判斷回文字串,"給定一行不含空白字元的字串 s，請判斷它是否為回文字串（正著讀與反著讀相同）。

輸入說明：一行字串 s（僅含英文小寫字母，長度 1<=len(s)<=200）。
輸出說明：若為回文輸出「是」，否則輸出「否」。",1,Active,Python,"s = input()
print(""是"" if s == s[::-1] else ""否"")",1,True,apcs,否
