ProblemCode,ExamType,Title,Description,Difficulty,Status,SolutionLanguage,SolutionCode,OrderIndex,IsExample,TestInput,ExpectedOutput
JAD101,TQC,整數欄寬輸出,"輸入一個整數 n，請以總欄寬 6 個字元、右對齊的格式輸出（不足的位數以空白補齊）。

輸入說明：一行一個整數 n。
輸出說明：一行，右對齊、欄寬為 6 的 n。",1,Active,Java,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int n = sc.nextInt();
        System.out.printf(""%6d%n"", n);
    }
}",0,True,42,    42
JAD101,TQC,整數欄寬輸出,"輸入一個整數 n，請以總欄寬 6 個字元、右對齊的格式輸出（不足的位數以空白補齊）。

輸入說明：一行一個整數 n。
輸出說明：一行，右對齊、欄寬為 6 的 n。",1,Active,Java,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int n = sc.nextInt();
        System.out.printf(""%6d%n"", n);
    }
}",1,True,-7,    -7
JAD102,TQC,四則運算格式化輸出,"輸入兩個整數 a 與 b（b 不為 0），依序輸出 a+b、a-b、a*b、a/b（整數除法）與 a%b 的結果，每個結果各占一行。

輸入說明：一行，兩個整數 a、b，以空白分隔。
輸出說明：五行，格式依序為「a + b = 結果」「a - b = 結果」「a * b = 結果」「a / b = 結果」「a % b = 結果」。",1,Active,Java,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int a = sc.nextInt();
        int b = sc.nextInt();
        System.out.println(a + "" + "" + b + "" = "" + (a + b));
        System.out.println(a + "" - "" + b + "" = "" + (a - b));
        System.out.println(a + "" * "" + b + "" = "" + (a * b));
        System.out.println(a + "" / "" + b + "" = "" + (a / b));
        System.out.println(a + "" % "" + b + "" = "" + (a % b));
    }
}",0,True,7 2,"7 + 2 = 9
7 - 2 = 5
7 * 2 = 14
7 / 2 = 3
7 % 2 = 1"
JAD102,TQC,四則運算格式化輸出,"輸入兩個整數 a 與 b（b 不為 0），依序輸出 a+b、a-b、a*b、a/b（整數除法）與 a%b 的結果，每個結果各占一行。

輸入說明：一行，兩個整數 a、b，以空白分隔。
輸出說明：五行，格式依序為「a + b = 結果」「a - b = 結果」「a * b = 結果」「a / b = 結果」「a % b = 結果」。",1,Active,Java,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int a = sc.nextInt();
        int b = sc.nextInt();
        System.out.println(a + "" + "" + b + "" = "" + (a + b));
        System.out.println(a + "" - "" + b + "" = "" + (a - b));
        System.out.println(a + "" * "" + b + "" = "" + (a * b));
        System.out.println(a + "" / "" + b + "" = "" + (a / b));
        System.out.println(a + "" % "" + b + "" = "" + (a % b));
    }
}",1,True,-9 4,"-9 + 4 = -5
-9 - 4 = -13
-9 * 4 = -36
-9 / 4 = -2
-9 % 4 = -1"
JAD103,TQC,圓面積與周長,"輸入一個圓的半徑 r（浮點數），以 π=3.14159 計算圓面積與周長，結果四捨五入至小數點後兩位輸出。

輸入說明：一行一個浮點數 r (0 < r < 1000)。
輸出說明：兩行，格式為「面積 = xx.xx」與「周長 = xx.xx」。",1,Active,Java,"import java.util.Locale;
import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        double r = sc.nextDouble();
        double pi = 3.14159;
        double area = pi * r * r;
        double perimeter = 2 * pi * r;
        System.out.printf(Locale.US, ""面積 = %.2f%n"", area);
        System.out.printf(Locale.US, ""周長 = %.2f%n"", perimeter);
    }
}",0,True,1,"面積 = 3.14
周長 = 6.28"
JAD103,TQC,圓面積與周長,"輸入一個圓的半徑 r（浮點數），以 π=3.14159 計算圓面積與周長，結果四捨五入至小數點後兩位輸出。

輸入說明：一行一個浮點數 r (0 < r < 1000)。
輸出說明：兩行，格式為「面積 = xx.xx」與「周長 = xx.xx」。",1,Active,Java,"import java.util.Locale;
import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        double r = sc.nextDouble();
        double pi = 3.14159;
        double area = pi * r * r;
        double perimeter = 2 * pi * r;
        System.out.printf(Locale.US, ""面積 = %.2f%n"", area);
        System.out.printf(Locale.US, ""周長 = %.2f%n"", perimeter);
    }
}",1,True,3,"面積 = 28.27
周長 = 18.85"
JAD104,TQC,個人資料輸出,"輸入姓名與年齡，輸出一句自我介紹。

輸入說明：一行，姓名與年齡以空白分隔（姓名不含空白）。
輸出說明：一行，格式為「我是 姓名，今年 年齡 歲。」。",1,Active,Java,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        String name = sc.next();
        int age = sc.nextInt();
        System.out.println(""我是 "" + name + ""，今年 "" + age + "" 歲。"");
    }
}",0,True,小明 20,我是 小明，今年 20 歲。
JAD104,TQC,個人資料輸出,"輸入姓名與年齡，輸出一句自我介紹。

輸入說明：一行，姓名與年齡以空白分隔（姓名不含空白）。
輸出說明：一行，格式為「我是 姓名，今年 年齡 歲。」。",1,Active,Java,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        String name = sc.next();
        int age = sc.nextInt();
        System.out.println(""我是 "" + name + ""，今年 "" + age + "" 歲。"");
    }
}",1,True,Amy 17,我是 Amy，今年 17 歲。
JAD105,TQC,三科成績平均,"輸入三科成績（整數），計算平均分數，四捨五入至小數點後兩位輸出。

輸入說明：一行，三個整數，以空白分隔。
輸出說明：一行，格式為「平均 = xx.xx」。",1,Active,Java,"import java.util.Locale;
import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int a = sc.nextInt();
        int b = sc.nextInt();
        int c = sc.nextInt();
        double avg = (a + b + c) / 3.0;
        System.out.printf(Locale.US, ""平均 = %.2f%n"", avg);
    }
}",0,True,80 90 100,平均 = 90.00
JAD105,TQC,三科成績平均,"輸入三科成績（整數），計算平均分數，四捨五入至小數點後兩位輸出。

輸入說明：一行，三個整數，以空白分隔。
輸出說明：一行，格式為「平均 = xx.xx」。",1,Active,Java,"import java.util.Locale;
import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int a = sc.nextInt();
        int b = sc.nextInt();
        int c = sc.nextInt();
        double avg = (a + b + c) / 3.0;
        System.out.printf(Locale.US, ""平均 = %.2f%n"", avg);
    }
}",1,True,70 85 77,平均 = 77.33
