ProblemCode,ExamType,Title,Description,Difficulty,Status,SolutionLanguage,SolutionCode,OrderIndex,IsExample,TestInput,ExpectedOutput
SWB01,軟設乙級,費氏數列,"輸入一個正整數 n，輸出費氏數列的前 n 項 (F1=1, F2=1, F3=2, ...)，以空白分隔於同一行。

輸入說明：一行一個正整數 n (1<=n<=40)。
輸出說明：一行，前 n 項費氏數，以空白分隔。",1,Active,Python,"n = int(input())
a, b = 1, 1
res = []
for _ in range(n):
    res.append(a)
    a, b = b, a + b
print(' '.join(map(str, res)))",0,True,5,1 1 2 3 5
SWB01,軟設乙級,費氏數列,"輸入一個正整數 n，輸出費氏數列的前 n 項 (F1=1, F2=1, F3=2, ...)，以空白分隔於同一行。

輸入說明：一行一個正整數 n (1<=n<=40)。
輸出說明：一行，前 n 項費氏數，以空白分隔。",1,Active,Python,"n = int(input())
a, b = 1, 1
res = []
for _ in range(n):
    res.append(a)
    a, b = b, a + b
print(' '.join(map(str, res)))",1,False,10,1 1 2 3 5 8 13 21 34 55
SWB01,軟設乙級,費氏數列,"輸入一個正整數 n，輸出費氏數列的前 n 項 (F1=1, F2=1, F3=2, ...)，以空白分隔於同一行。

輸入說明：一行一個正整數 n (1<=n<=40)。
輸出說明：一行，前 n 項費氏數，以空白分隔。",1,Active,Python,"n = int(input())
a, b = 1, 1
res = []
for _ in range(n):
    res.append(a)
    a, b = b, a + b
print(' '.join(map(str, res)))",2,False,1,1
SWB02,軟設乙級,選擇排序（由小到大）,"以「選擇排序法」將 n 個整數由小到大排序後輸出。

輸入說明：第一行整數 n；第二行 n 個整數 (以空白分隔)。
輸出說明：一行，排序後的 n 個整數。",1,Active,Python,"n = int(input())
a = list(map(int, input().split()))
for i in range(n):
    m = i
    for j in range(i + 1, n):
        if a[j] < a[m]:
            m = j
    a[i], a[m] = a[m], a[i]
print(' '.join(map(str, a)))",0,True,"5
5 2 8 1 9",1 2 5 8 9
SWB02,軟設乙級,選擇排序（由小到大）,"以「選擇排序法」將 n 個整數由小到大排序後輸出。

輸入說明：第一行整數 n；第二行 n 個整數 (以空白分隔)。
輸出說明：一行，排序後的 n 個整數。",1,Active,Python,"n = int(input())
a = list(map(int, input().split()))
for i in range(n):
    m = i
    for j in range(i + 1, n):
        if a[j] < a[m]:
            m = j
    a[i], a[m] = a[m], a[i]
print(' '.join(map(str, a)))",1,False,"6
3 3 1 2 2 1",1 1 2 2 3 3
SWB03,軟設乙級,氣泡排序（由大到小）,"以「氣泡排序法」將 n 個整數由大到小排序後輸出。

輸入說明：第一行整數 n；第二行 n 個整數。
輸出說明：一行，由大到小排序後的結果。",1,Active,Python,"n = int(input())
a = list(map(int, input().split()))
for i in range(n - 1):
    for j in range(n - 1 - i):
        if a[j] < a[j + 1]:
            a[j], a[j + 1] = a[j + 1], a[j]
print(' '.join(map(str, a)))",0,True,"5
5 2 8 1 9",9 8 5 2 1
SWB03,軟設乙級,氣泡排序（由大到小）,"以「氣泡排序法」將 n 個整數由大到小排序後輸出。

輸入說明：第一行整數 n；第二行 n 個整數。
輸出說明：一行，由大到小排序後的結果。",1,Active,Python,"n = int(input())
a = list(map(int, input().split()))
for i in range(n - 1):
    for j in range(n - 1 - i):
        if a[j] < a[j + 1]:
            a[j], a[j + 1] = a[j + 1], a[j]
print(' '.join(map(str, a)))",1,False,"4
10 10 5 20",20 10 10 5
SWB04,軟設乙級,十進位轉二進位,"將一個非負十進位整數轉換為二進位字串。

輸入說明：一行一個非負整數 n (0<=n<=1000000000)。
輸出說明：n 的二進位表示 (n=0 輸出 0)。",1,Active,Python,"n = int(input())
if n == 0:
    print('0')
else:
    r = ''
    while n > 0:
        r = str(n % 2) + r
        n //= 2
    print(r)",0,True,10,1010
SWB04,軟設乙級,十進位轉二進位,"將一個非負十進位整數轉換為二進位字串。

輸入說明：一行一個非負整數 n (0<=n<=1000000000)。
輸出說明：n 的二進位表示 (n=0 輸出 0)。",1,Active,Python,"n = int(input())
if n == 0:
    print('0')
else:
    r = ''
    while n > 0:
        r = str(n % 2) + r
        n //= 2
    print(r)",1,False,0,0
SWB04,軟設乙級,十進位轉二進位,"將一個非負十進位整數轉換為二進位字串。

輸入說明：一行一個非負整數 n (0<=n<=1000000000)。
輸出說明：n 的二進位表示 (n=0 輸出 0)。",1,Active,Python,"n = int(input())
if n == 0:
    print('0')
else:
    r = ''
    while n > 0:
        r = str(n % 2) + r
        n //= 2
    print(r)",2,False,255,11111111
