ProblemCode,ExamType,Title,Description,Difficulty,Status,SolutionLanguage,SolutionCode,OrderIndex,IsExample,TestInput,ExpectedOutput
CSD101,TQC,個人資料格式化輸出,"輸入姓名與年齡，輸出一句自我介紹。

輸入說明：第一行為姓名（字串）；第二行為年齡（整數）。
輸出說明：輸出一行「我是 <姓名>，今年 <年齡> 歲。」。",1,Active,C#,"using System;

class Program
{
    static void Main()
    {
        string name = Console.ReadLine() ?? """";
        int age = int.Parse(Console.ReadLine() ?? ""0"");
        Console.WriteLine($""我是 {name}，今年 {age} 歲。"");
    }
}",0,True,"小明
18",我是 小明，今年 18 歲。
CSD101,TQC,個人資料格式化輸出,"輸入姓名與年齡，輸出一句自我介紹。

輸入說明：第一行為姓名（字串）；第二行為年齡（整數）。
輸出說明：輸出一行「我是 <姓名>，今年 <年齡> 歲。」。",1,Active,C#,"using System;

class Program
{
    static void Main()
    {
        string name = Console.ReadLine() ?? """";
        int age = int.Parse(Console.ReadLine() ?? ""0"");
        Console.WriteLine($""我是 {name}，今年 {age} 歲。"");
    }
}",1,True,"Alice
25",我是 Alice，今年 25 歲。
CSD102,TQC,四則運算格式化輸出,"輸入兩個整數 a、b，依序輸出兩數的和、差、積、商（整數除法）與餘數，每項各佔一行，格式為「a 運算符 b = 結果」。

輸入說明：第一行為整數 a；第二行為整數 b（b 不為 0）。
輸出說明：五行，依序為加、減、乘、除、餘數的算式與結果。",1,Active,C#,"using System;

class Program
{
    static void Main()
    {
        int a = int.Parse(Console.ReadLine() ?? ""0"");
        int b = int.Parse(Console.ReadLine() ?? ""0"");
        Console.WriteLine($""{a} + {b} = {a + b}"");
        Console.WriteLine($""{a} - {b} = {a - b}"");
        Console.WriteLine($""{a} * {b} = {a * b}"");
        Console.WriteLine($""{a} / {b} = {a / b}"");
        Console.WriteLine($""{a} % {b} = {a % b}"");
    }
}",0,True,"10
3","10 + 3 = 13
10 - 3 = 7
10 * 3 = 30
10 / 3 = 3
10 % 3 = 1"
CSD102,TQC,四則運算格式化輸出,"輸入兩個整數 a、b，依序輸出兩數的和、差、積、商（整數除法）與餘數，每項各佔一行，格式為「a 運算符 b = 結果」。

輸入說明：第一行為整數 a；第二行為整數 b（b 不為 0）。
輸出說明：五行，依序為加、減、乘、除、餘數的算式與結果。",1,Active,C#,"using System;

class Program
{
    static void Main()
    {
        int a = int.Parse(Console.ReadLine() ?? ""0"");
        int b = int.Parse(Console.ReadLine() ?? ""0"");
        Console.WriteLine($""{a} + {b} = {a + b}"");
        Console.WriteLine($""{a} - {b} = {a - b}"");
        Console.WriteLine($""{a} * {b} = {a * b}"");
        Console.WriteLine($""{a} / {b} = {a / b}"");
        Console.WriteLine($""{a} % {b} = {a % b}"");
    }
}",1,True,"7
7","7 + 7 = 14
7 - 7 = 0
7 * 7 = 49
7 / 7 = 1
7 % 7 = 0"
CSD103,TQC,浮點數四捨五入格式化,"輸入一個浮點數，輸出其分別四捨五入至小數點後 0 位、1 位、2 位的結果，使用 string.Format 的固定小數位格式。

輸入說明：一行浮點數 x。
輸出說明：三行，依序為 0 位、1 位、2 位小數的四捨五入結果。",1,Active,C#,"using System;
using System.Globalization;

class Program
{
    static void Main()
    {
        double x = double.Parse(Console.ReadLine() ?? ""0"", CultureInfo.InvariantCulture);
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""{0:F0}"", x));
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""{0:F1}"", x));
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""{0:F2}"", x));
    }
}",0,True,3.14159,"3
3.1
3.14"
CSD103,TQC,浮點數四捨五入格式化,"輸入一個浮點數，輸出其分別四捨五入至小數點後 0 位、1 位、2 位的結果，使用 string.Format 的固定小數位格式。

輸入說明：一行浮點數 x。
輸出說明：三行，依序為 0 位、1 位、2 位小數的四捨五入結果。",1,Active,C#,"using System;
using System.Globalization;

class Program
{
    static void Main()
    {
        double x = double.Parse(Console.ReadLine() ?? ""0"", CultureInfo.InvariantCulture);
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""{0:F0}"", x));
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""{0:F1}"", x));
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""{0:F2}"", x));
    }
}",1,True,2.995,"3
3.0
3.00"
CSD104,TQC,千分位金額格式化,"輸入一個整數金額，輸出加上千分位逗號分隔符與新台幣符號的格式化字串。

輸入說明：一行整數 amount（0 <= amount <= 2000000000）。
輸出說明：一行，格式為「NT$ 金額」，金額每三位加一個逗號，例如 NT$ 1,234,567。",1,Active,C#,"using System;
using System.Globalization;

class Program
{
    static void Main()
    {
        long amount = long.Parse(Console.ReadLine() ?? ""0"");
        Console.WriteLine(""NT$ "" + amount.ToString(""#,0"", CultureInfo.InvariantCulture));
    }
}",0,True,1234567,"NT$ 1,234,567"
CSD104,TQC,千分位金額格式化,"輸入一個整數金額，輸出加上千分位逗號分隔符與新台幣符號的格式化字串。

輸入說明：一行整數 amount（0 <= amount <= 2000000000）。
輸出說明：一行，格式為「NT$ 金額」，金額每三位加一個逗號，例如 NT$ 1,234,567。",1,Active,C#,"using System;
using System.Globalization;

class Program
{
    static void Main()
    {
        long amount = long.Parse(Console.ReadLine() ?? ""0"");
        Console.WriteLine(""NT$ "" + amount.ToString(""#,0"", CultureInfo.InvariantCulture));
    }
}",1,True,500,NT$ 500
CSD105,TQC,溫度轉換格式化輸出,"輸入攝氏溫度，計算對應的華氏溫度（公式：F = C * 9 / 5 + 32），並輸出到小數點後 1 位。

輸入說明：一行浮點數，攝氏溫度 C。
輸出說明：一行，格式為「攝氏 C 度 = 華氏 F 度」，其中 C 與 F 皆保留小數點後 1 位。",1,Active,C#,"using System;
using System.Globalization;

class Program
{
    static void Main()
    {
        double c = double.Parse(Console.ReadLine() ?? ""0"", CultureInfo.InvariantCulture);
        double f = c * 9.0 / 5.0 + 32.0;
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""攝氏 {0:F1} 度 = 華氏 {1:F1} 度"", c, f));
    }
}",0,True,0,攝氏 0.0 度 = 華氏 32.0 度
CSD105,TQC,溫度轉換格式化輸出,"輸入攝氏溫度，計算對應的華氏溫度（公式：F = C * 9 / 5 + 32），並輸出到小數點後 1 位。

輸入說明：一行浮點數，攝氏溫度 C。
輸出說明：一行，格式為「攝氏 C 度 = 華氏 F 度」，其中 C 與 F 皆保留小數點後 1 位。",1,Active,C#,"using System;
using System.Globalization;

class Program
{
    static void Main()
    {
        double c = double.Parse(Console.ReadLine() ?? ""0"", CultureInfo.InvariantCulture);
        double f = c * 9.0 / 5.0 + 32.0;
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""攝氏 {0:F1} 度 = 華氏 {1:F1} 度"", c, f));
    }
}",1,True,36.5,攝氏 36.5 度 = 華氏 97.7 度
CSD106,TQC,百分比格式化輸出,"輸入及格人數與總人數，計算及格率並以百分比格式輸出（小數點後 1 位，含 % 符號）。

輸入說明：第一行為及格人數 pass（整數）；第二行為總人數 total（整數，total > 0）。
輸出說明：一行，格式為「及格率：XX.X%」。",1,Active,C#,"using System;
using System.Globalization;

class Program
{
    static void Main()
    {
        int pass = int.Parse(Console.ReadLine() ?? ""0"");
        int total = int.Parse(Console.ReadLine() ?? ""1"");
        double rate = pass * 100.0 / total;
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""及格率：{0:F1}%"", rate));
    }
}",0,True,"18
20",及格率：90.0%
CSD106,TQC,百分比格式化輸出,"輸入及格人數與總人數，計算及格率並以百分比格式輸出（小數點後 1 位，含 % 符號）。

輸入說明：第一行為及格人數 pass（整數）；第二行為總人數 total（整數，total > 0）。
輸出說明：一行，格式為「及格率：XX.X%」。",1,Active,C#,"using System;
using System.Globalization;

class Program
{
    static void Main()
    {
        int pass = int.Parse(Console.ReadLine() ?? ""0"");
        int total = int.Parse(Console.ReadLine() ?? ""1"");
        double rate = pass * 100.0 / total;
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""及格率：{0:F1}%"", rate));
    }
}",1,True,"7
9",及格率：77.8%
CSD107,TQC,表格欄位對齊輸出,"輸入三筆商品資料（名稱與價格），以固定欄寬對齊的方式輸出成表格，名稱靠左對齊佔 10 格、價格靠右對齊佔 6 格。

輸入說明：三行，每行為「名稱 價格」，以空白分隔，價格為整數。
輸出說明：三行，每行為對齊後的「名稱價格」字串（名稱 PadRight(10)，價格 PadLeft(6)）。",1,Active,C#,"using System;

class Program
{
    static void Main()
    {
        for (int i = 0; i < 3; i++)
        {
            string[] parts = (Console.ReadLine() ?? """").Split(' ');
            string name = parts[0];
            string price = parts[1];
            Console.WriteLine(name.PadRight(10) + price.PadLeft(6));
        }
    }
}",0,True,"筆記本 45
鉛筆 8
橡皮擦 15","筆記本           45
鉛筆             8
橡皮擦           15"
CSD107,TQC,表格欄位對齊輸出,"輸入三筆商品資料（名稱與價格），以固定欄寬對齊的方式輸出成表格，名稱靠左對齊佔 10 格、價格靠右對齊佔 6 格。

輸入說明：三行，每行為「名稱 價格」，以空白分隔，價格為整數。
輸出說明：三行，每行為對齊後的「名稱價格」字串（名稱 PadRight(10)，價格 PadLeft(6)）。",1,Active,C#,"using System;

class Program
{
    static void Main()
    {
        for (int i = 0; i < 3; i++)
        {
            string[] parts = (Console.ReadLine() ?? """").Split(' ');
            string name = parts[0];
            string price = parts[1];
            Console.WriteLine(name.PadRight(10) + price.PadLeft(6));
        }
    }
}",1,True,"A 1
BB 22
CCC 333","A              1
BB            22
CCC          333"
CSD108,TQC,三角形星號圖案,"輸入一個正整數 n，輸出一個 n 列的直角三角形星號圖案，第 i 列（由 1 開始）包含 i 個星號。

輸入說明：一行正整數 n（1 <= n <= 20）。
輸出說明：n 行，第 i 行為 i 個 '*' 字元。",2,Active,C#,"using System;
using System.Text;

class Program
{
    static void Main()
    {
        int n = int.Parse(Console.ReadLine() ?? ""0"");
        for (int i = 1; i <= n; i++)
        {
            Console.WriteLine(new string('*', i));
        }
    }
}",0,True,3,"*
**
***"
CSD108,TQC,三角形星號圖案,"輸入一個正整數 n，輸出一個 n 列的直角三角形星號圖案，第 i 列（由 1 開始）包含 i 個星號。

輸入說明：一行正整數 n（1 <= n <= 20）。
輸出說明：n 行，第 i 行為 i 個 '*' 字元。",2,Active,C#,"using System;
using System.Text;

class Program
{
    static void Main()
    {
        int n = int.Parse(Console.ReadLine() ?? ""0"");
        for (int i = 1; i <= n; i++)
        {
            Console.WriteLine(new string('*', i));
        }
    }
}",1,True,5,"*
**
***
****
*****"
CSD109,TQC,九九乘法表單一直行,"輸入一個 1 到 9 的整數 n，輸出該數字的九九乘法表（n 乘以 1 到 9），格式為「n x i = 結果」。

輸入說明：一行整數 n（1 <= n <= 9）。
輸出說明：九行，依序為 n x 1 = ... 到 n x 9 = ...。",2,Active,C#,"using System;

class Program
{
    static void Main()
    {
        int n = int.Parse(Console.ReadLine() ?? ""1"");
        for (int i = 1; i <= 9; i++)
        {
            Console.WriteLine($""{n} x {i} = {n * i}"");
        }
    }
}",0,True,3,"3 x 1 = 3
3 x 2 = 6
3 x 3 = 9
3 x 4 = 12
3 x 5 = 15
3 x 6 = 18
3 x 7 = 21
3 x 8 = 24
3 x 9 = 27"
CSD109,TQC,九九乘法表單一直行,"輸入一個 1 到 9 的整數 n，輸出該數字的九九乘法表（n 乘以 1 到 9），格式為「n x i = 結果」。

輸入說明：一行整數 n（1 <= n <= 9）。
輸出說明：九行，依序為 n x 1 = ... 到 n x 9 = ...。",2,Active,C#,"using System;

class Program
{
    static void Main()
    {
        int n = int.Parse(Console.ReadLine() ?? ""1"");
        for (int i = 1; i <= 9; i++)
        {
            Console.WriteLine($""{n} x {i} = {n * i}"");
        }
    }
}",1,True,9,"9 x 1 = 9
9 x 2 = 18
9 x 3 = 27
9 x 4 = 36
9 x 5 = 45
9 x 6 = 54
9 x 7 = 63
9 x 8 = 72
9 x 9 = 81"
CSD110,TQC,BMI 計算與等級判斷,"輸入身高（公分）與體重（公斤），計算 BMI 值（BMI = 體重 / (身高公尺)^2），輸出保留小數點後 1 位的 BMI 值，並依下列標準判斷等級：BMI < 18.5 為「過輕」；18.5 <= BMI < 24 為「正常」；24 <= BMI < 27 為「過重」；BMI >= 27 為「肥胖」。

輸入說明：第一行為身高 height（公分，浮點數）；第二行為體重 weight（公斤，浮點數）。
輸出說明：一行，格式為「BMI: XX.X 等級: 等級名稱」。",2,Active,C#,"using System;
using System.Globalization;

class Program
{
    static void Main()
    {
        double height = double.Parse(Console.ReadLine() ?? ""0"", CultureInfo.InvariantCulture);
        double weight = double.Parse(Console.ReadLine() ?? ""0"", CultureInfo.InvariantCulture);
        double m = height / 100.0;
        double bmi = weight / (m * m);
        string level;
        if (bmi < 18.5) level = ""過輕"";
        else if (bmi < 24) level = ""正常"";
        else if (bmi < 27) level = ""過重"";
        else level = ""肥胖"";
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""BMI: {0:F1} 等級: {1}"", bmi, level));
    }
}",0,True,"170
65",BMI: 22.5 等級: 正常
CSD110,TQC,BMI 計算與等級判斷,"輸入身高（公分）與體重（公斤），計算 BMI 值（BMI = 體重 / (身高公尺)^2），輸出保留小數點後 1 位的 BMI 值，並依下列標準判斷等級：BMI < 18.5 為「過輕」；18.5 <= BMI < 24 為「正常」；24 <= BMI < 27 為「過重」；BMI >= 27 為「肥胖」。

輸入說明：第一行為身高 height（公分，浮點數）；第二行為體重 weight（公斤，浮點數）。
輸出說明：一行，格式為「BMI: XX.X 等級: 等級名稱」。",2,Active,C#,"using System;
using System.Globalization;

class Program
{
    static void Main()
    {
        double height = double.Parse(Console.ReadLine() ?? ""0"", CultureInfo.InvariantCulture);
        double weight = double.Parse(Console.ReadLine() ?? ""0"", CultureInfo.InvariantCulture);
        double m = height / 100.0;
        double bmi = weight / (m * m);
        string level;
        if (bmi < 18.5) level = ""過輕"";
        else if (bmi < 24) level = ""正常"";
        else if (bmi < 27) level = ""過重"";
        else level = ""肥胖"";
        Console.WriteLine(string.Format(CultureInfo.InvariantCulture, ""BMI: {0:F1} 等級: {1}"", bmi, level));
    }
}",1,True,"160
80",BMI: 31.2 等級: 肥胖
CSD201,TQC,奇偶數判斷與計數,"輸入 n 個整數（同一行，以空白分隔），統計其中奇數與偶數的個數。

輸入說明：一行，n 個以空白分隔的整數。
輸出說明：一行，格式為「奇數:X 偶數:Y」。",1,Active,C#,"using System;
using System.Linq;

class Program
{
    static void Main()
    {
        int[] nums = (Console.ReadLine() ?? """").Split(' ', StringSplitOptions.RemoveEmptyEntries)
            .Select(int.Parse).ToArray();
        int odd = 0, even = 0;
        foreach (int x in nums)
        {
            if (x % 2 == 0) even++;
            else odd++;
        }
        Console.WriteLine($""奇數:{odd} 偶數:{even}"");
    }
}",0,True,1 2 3 4 5,奇數:3 偶數:2
CSD201,TQC,奇偶數判斷與計數,"輸入 n 個整數（同一行，以空白分隔），統計其中奇數與偶數的個數。

輸入說明：一行，n 個以空白分隔的整數。
輸出說明：一行，格式為「奇數:X 偶數:Y」。",1,Active,C#,"using System;
using System.Linq;

class Program
{
    static void Main()
    {
        int[] nums = (Console.ReadLine() ?? """").Split(' ', StringSplitOptions.RemoveEmptyEntries)
            .Select(int.Parse).ToArray();
        int odd = 0, even = 0;
        foreach (int x in nums)
        {
            if (x % 2 == 0) even++;
            else odd++;
        }
        Console.WriteLine($""奇數:{odd} 偶數:{even}"");
    }
}",1,True,2 4 6 8,奇數:0 偶數:4
