ProblemCode,ExamType,Title,Description,Difficulty,Status,SolutionLanguage,SolutionCode,OrderIndex,IsExample,TestInput,ExpectedOutput
SWC01,Software,判斷奇偶數,"輸入一個整數 n，判斷其為奇數或偶數。

輸入說明：一行一個整數 n。
輸出說明：n 為偶數輸出 偶數，否則輸出 奇數。",1,Active,Python,"n = int(input())
print(""偶數"" if n % 2 == 0 else ""奇數"")",0,True,4,偶數
SWC01,Software,判斷奇偶數,"輸入一個整數 n，判斷其為奇數或偶數。

輸入說明：一行一個整數 n。
輸出說明：n 為偶數輸出 偶數，否則輸出 奇數。",1,Active,Python,"n = int(input())
print(""偶數"" if n % 2 == 0 else ""奇數"")",1,True,7,奇數
SWC01,Software,判斷奇偶數,"輸入一個整數 n，判斷其為奇數或偶數。

輸入說明：一行一個整數 n。
輸出說明：n 為偶數輸出 偶數，否則輸出 奇數。",1,Active,Python,"n = int(input())
print(""偶數"" if n % 2 == 0 else ""奇數"")",2,True,-2,偶數
SWC02,Software,判斷正數、負數或零,"輸入一個整數 n，判斷其為正數、負數或零。

輸入說明：一行一個整數 n。
輸出說明：正數輸出 正數；負數輸出 負數；為 0 輸出 零。",1,Active,Python,"n = int(input())
if n > 0:
    print(""正數"")
elif n < 0:
    print(""負數"")
else:
    print(""零"")",0,True,5,正數
SWC02,Software,判斷正數、負數或零,"輸入一個整數 n，判斷其為正數、負數或零。

輸入說明：一行一個整數 n。
輸出說明：正數輸出 正數；負數輸出 負數；為 0 輸出 零。",1,Active,Python,"n = int(input())
if n > 0:
    print(""正數"")
elif n < 0:
    print(""負數"")
else:
    print(""零"")",1,True,-3,負數
SWC02,Software,判斷正數、負數或零,"輸入一個整數 n，判斷其為正數、負數或零。

輸入說明：一行一個整數 n。
輸出說明：正數輸出 正數；負數輸出 負數；為 0 輸出 零。",1,Active,Python,"n = int(input())
if n > 0:
    print(""正數"")
elif n < 0:
    print(""負數"")
else:
    print(""零"")",2,True,0,零
SWC03,Software,兩數中的較大值,"輸入兩個整數，輸出其中較大者；若相等則輸出該值。

輸入說明：一行兩個整數 a 與 b，以空白分隔。
輸出說明：a 與 b 中的較大值。",1,Active,Python,"a, b = map(int, input().split())
print(max(a, b))",0,True,3 7,7
SWC03,Software,兩數中的較大值,"輸入兩個整數，輸出其中較大者；若相等則輸出該值。

輸入說明：一行兩個整數 a 與 b，以空白分隔。
輸出說明：a 與 b 中的較大值。",1,Active,Python,"a, b = map(int, input().split())
print(max(a, b))",1,True,5 5,5
SWC03,Software,兩數中的較大值,"輸入兩個整數，輸出其中較大者；若相等則輸出該值。

輸入說明：一行兩個整數 a 與 b，以空白分隔。
輸出說明：a 與 b 中的較大值。",1,Active,Python,"a, b = map(int, input().split())
print(max(a, b))",2,True,-2 -8,-2
SWC04,Software,三數中的最大值,"輸入三個整數，輸出其中最大值。

輸入說明：一行三個整數，以空白分隔。
輸出說明：三數中的最大值。",1,Active,Python,"a, b, c = map(int, input().split())
print(max(a, b, c))",0,True,3 9 5,9
SWC04,Software,三數中的最大值,"輸入三個整數，輸出其中最大值。

輸入說明：一行三個整數，以空白分隔。
輸出說明：三數中的最大值。",1,Active,Python,"a, b, c = map(int, input().split())
print(max(a, b, c))",1,True,1 1 1,1
SWC04,Software,三數中的最大值,"輸入三個整數，輸出其中最大值。

輸入說明：一行三個整數，以空白分隔。
輸出說明：三數中的最大值。",1,Active,Python,"a, b, c = map(int, input().split())
print(max(a, b, c))",2,True,-5 -1 -9,-1
SWC05,Software,計算1到n的整數總和,"輸入正整數 n，計算 1+2+...+n 的總和。

輸入說明：一行一個正整數 n (1<=n<=100000)。
輸出說明：1 到 n 的總和。",1,Active,Python,"n = int(input())
print(sum(range(1, n + 1)))",0,True,5,15
SWC05,Software,計算1到n的整數總和,"輸入正整數 n，計算 1+2+...+n 的總和。

輸入說明：一行一個正整數 n (1<=n<=100000)。
輸出說明：1 到 n 的總和。",1,Active,Python,"n = int(input())
print(sum(range(1, n + 1)))",1,True,10,55
SWC05,Software,計算1到n的整數總和,"輸入正整數 n，計算 1+2+...+n 的總和。

輸入說明：一行一個正整數 n (1<=n<=100000)。
輸出說明：1 到 n 的總和。",1,Active,Python,"n = int(input())
print(sum(range(1, n + 1)))",2,True,1,1
SWC06,Software,計算1到n的偶數總和,"輸入正整數 n，計算 1 到 n 之間所有偶數的總和。

輸入說明：一行一個正整數 n (1<=n<=100000)。
輸出說明：1 到 n 之間偶數的總和。",1,Active,Python,"n = int(input())
print(sum(i for i in range(1, n + 1) if i % 2 == 0))",0,True,10,30
SWC06,Software,計算1到n的偶數總和,"輸入正整數 n，計算 1 到 n 之間所有偶數的總和。

輸入說明：一行一個正整數 n (1<=n<=100000)。
輸出說明：1 到 n 之間偶數的總和。",1,Active,Python,"n = int(input())
print(sum(i for i in range(1, n + 1) if i % 2 == 0))",1,True,6,12
SWC06,Software,計算1到n的偶數總和,"輸入正整數 n，計算 1 到 n 之間所有偶數的總和。

輸入說明：一行一個正整數 n (1<=n<=100000)。
輸出說明：1 到 n 之間偶數的總和。",1,Active,Python,"n = int(input())
print(sum(i for i in range(1, n + 1) if i % 2 == 0))",2,True,1,0
SWC07,Software,計算n的階乘,"輸入非負整數 n，計算 n! (n 的階乘)。

輸入說明：一行一個整數 n (0<=n<=15)。
輸出說明：n 的階乘。",1,Active,Python,"n = int(input())
r = 1
for i in range(1, n + 1):
    r *= i
print(r)",0,True,5,120
SWC07,Software,計算n的階乘,"輸入非負整數 n，計算 n! (n 的階乘)。

輸入說明：一行一個整數 n (0<=n<=15)。
輸出說明：n 的階乘。",1,Active,Python,"n = int(input())
r = 1
for i in range(1, n + 1):
    r *= i
print(r)",1,True,0,1
SWC07,Software,計算n的階乘,"輸入非負整數 n，計算 n! (n 的階乘)。

輸入說明：一行一個整數 n (0<=n<=15)。
輸出說明：n 的階乘。",1,Active,Python,"n = int(input())
r = 1
for i in range(1, n + 1):
    r *= i
print(r)",2,True,7,5040
SWC08,Software,單一數字的九九乘法表,"輸入一個整數 k (1<=k<=9)，輸出 k 的九九乘法表 (k*1 到 k*9)。

輸入說明：一行一個整數 k (1<=k<=9)。
輸出說明：9 行，每行格式為 k x i = 結果 (i 由 1 到 9)。",1,Active,Python,"k = int(input())
for i in range(1, 10):
    print(f""{k} x {i} = {k * i}"")",0,True,3,"3 x 1 = 3
3 x 2 = 6
3 x 3 = 9
3 x 4 = 12
3 x 5 = 15
3 x 6 = 18
3 x 7 = 21
3 x 8 = 24
3 x 9 = 27"
SWC08,Software,單一數字的九九乘法表,"輸入一個整數 k (1<=k<=9)，輸出 k 的九九乘法表 (k*1 到 k*9)。

輸入說明：一行一個整數 k (1<=k<=9)。
輸出說明：9 行，每行格式為 k x i = 結果 (i 由 1 到 9)。",1,Active,Python,"k = int(input())
for i in range(1, 10):
    print(f""{k} x {i} = {k * i}"")",1,True,9,"9 x 1 = 9
9 x 2 = 18
9 x 3 = 27
9 x 4 = 36
9 x 5 = 45
9 x 6 = 54
9 x 7 = 63
9 x 8 = 72
9 x 9 = 81"
SWC09,Software,完整九九乘法表,"輸入正整數 n (2<=n<=9)，輸出 n x n 的乘法表。

輸入說明：一行一個整數 n。
輸出說明：n 行，第 i 行依序輸出 i x 1=結果 到 i x n=結果，以空白分隔。",2,Active,Python,"n = int(input())
for i in range(1, n + 1):
    print(' '.join(f""{i}x{j}={i * j}"" for j in range(1, n + 1)))",0,True,3,"1x1=1 1x2=2 1x3=3
2x1=2 2x2=4 2x3=6
3x1=3 3x2=6 3x3=9"
SWC09,Software,完整九九乘法表,"輸入正整數 n (2<=n<=9)，輸出 n x n 的乘法表。

輸入說明：一行一個整數 n。
輸出說明：n 行，第 i 行依序輸出 i x 1=結果 到 i x n=結果，以空白分隔。",2,Active,Python,"n = int(input())
for i in range(1, n + 1):
    print(' '.join(f""{i}x{j}={i * j}"" for j in range(1, n + 1)))",1,True,5,"1x1=1 1x2=2 1x3=3 1x4=4 1x5=5
2x1=2 2x2=4 2x3=6 2x4=8 2x5=10
3x1=3 3x2=6 3x3=9 3x4=12 3x5=15
4x1=4 4x2=8 4x3=12 4x4=16 4x5=20
5x1=5 5x2=10 5x3=15 5x4=20 5x5=25"
SWC10,Software,計算多位數字的位數和,"輸入一個正整數 n，計算其各位數字的總和。

輸入說明：一行一個正整數 n (1<=n<=10^15)。
輸出說明：n 每一位數字的總和。",2,Active,Python,"s = input().strip()
print(sum(int(ch) for ch in s if ch.isdigit()))",0,True,12345,15
SWC10,Software,計算多位數字的位數和,"輸入一個正整數 n，計算其各位數字的總和。

輸入說明：一行一個正整數 n (1<=n<=10^15)。
輸出說明：n 每一位數字的總和。",2,Active,Python,"s = input().strip()
print(sum(int(ch) for ch in s if ch.isdigit()))",1,True,9999,36
SWC10,Software,計算多位數字的位數和,"輸入一個正整數 n，計算其各位數字的總和。

輸入說明：一行一個正整數 n (1<=n<=10^15)。
輸出說明：n 每一位數字的總和。",2,Active,Python,"s = input().strip()
print(sum(int(ch) for ch in s if ch.isdigit()))",2,True,100,1
SWC11,Software,反轉一個正整數,"輸入一個正整數，將其數字順序反轉後輸出 (反轉後若有前導 0 需自動省略)。

輸入說明：一行一個正整數 n (1<=n<=10^12)。
輸出說明：反轉後的整數。",2,Active,Python,"s = input().strip()
print(int(s[::-1]))",0,True,12345,54321
SWC11,Software,反轉一個正整數,"輸入一個正整數，將其數字順序反轉後輸出 (反轉後若有前導 0 需自動省略)。

輸入說明：一行一個正整數 n (1<=n<=10^12)。
輸出說明：反轉後的整數。",2,Active,Python,"s = input().strip()
print(int(s[::-1]))",1,True,120,21
SWC11,Software,反轉一個正整數,"輸入一個正整數，將其數字順序反轉後輸出 (反轉後若有前導 0 需自動省略)。

輸入說明：一行一個正整數 n (1<=n<=10^12)。
輸出說明：反轉後的整數。",2,Active,Python,"s = input().strip()
print(int(s[::-1]))",2,True,7,7
SWC12,Software,判斷倍數關係,"輸入兩個整數 n 與 m，判斷 n 是否為 m 的倍數。

輸入說明：一行兩個整數 n 與 m (m<>0)。
輸出說明：n 為 m 的倍數輸出 Yes，否則輸出 No。",1,Active,Python,"n, m = map(int, input().split())
print(""Yes"" if n % m == 0 else ""No"")",0,True,15 5,Yes
SWC12,Software,判斷倍數關係,"輸入兩個整數 n 與 m，判斷 n 是否為 m 的倍數。

輸入說明：一行兩個整數 n 與 m (m<>0)。
輸出說明：n 為 m 的倍數輸出 Yes，否則輸出 No。",1,Active,Python,"n, m = map(int, input().split())
print(""Yes"" if n % m == 0 else ""No"")",1,True,14 5,No
SWC12,Software,判斷倍數關係,"輸入兩個整數 n 與 m，判斷 n 是否為 m 的倍數。

輸入說明：一行兩個整數 n 與 m (m<>0)。
輸出說明：n 為 m 的倍數輸出 Yes，否則輸出 No。",1,Active,Python,"n, m = map(int, input().split())
print(""Yes"" if n % m == 0 else ""No"")",2,True,0 7,Yes
